OP("/N0" "gm") X,OP("/N0" "gm") Y
1e-07,2.524877918604784e-05
2e-07,5.089125326422492e-05
3e-07,7.615378863763714e-05
4e-07,0.0001027903359979773
5e-07,0.000129957998187173
6e-07,0.0001573187624626987
7e-07,0.0001846685197256347
8e-07,0.0002120185773817901
9e-07,0.0002393104408421061
1e-06,0.0002665338754667641
1.1e-06,0.0002936872801353298
1.2e-06,0.0003207731217731093
1.3e-06,0.000347795655651156
1.4e-06,0.0003747597749649077
1.5e-06,0.0004016704341890763
1.6e-06,0.0004285323697433421
1.7e-06,0.00045534997633274
1.8e-06,0.0004821272647175727
1.9e-06,0.0005088678613321876
2e-06,0.0005355750284355183